"Aircraft Model","Category","Size","Engine Type & Number","Tail Configuration","Wing Configuration","Distinctive Visual Features","Typical Operators","First Flight / Entry into Service","Nicknames / Misidentifications"
"Boeing 717","Jet (twin-engine narrow-body airliner)","Small (short-fuselage 100–130 seat airliner)","Twin turbofan engines mounted at the rear fuselage","T-tail (high-mounted horizontal stabilizer)","Low-wing monoplane (swept wing)","Short length; engines on both sides of rear fuselage; high T-shaped tail; no winglets (built without wingtip extensions)","Delta Air Lines (largest operator), Hawaiian Airlines (inter-island flights)","First flown 1998, entered service in 1999 (originally as MD-95 before Boeing’s merger)","Sometimes mistaken for the similar MD-80/DC-9 series due to its rear-engine T-tail design"
"Boeing 737 Next Generation (737-600/700/800/900)","Jet (twin-engine narrow-body airliner)","Medium (short-to-medium range 110–190 seat airliner)","Twin turbofan engines under the wings (canted pylons), with older models’ nacelles having a distinctive flat underside","Conventional tail (low-mounted horizontal stabilizer on rear fuselage)","Low-wing monoplane (swept wing)","Pointed nose with V-shaped lower cockpit windows; no hubcaps on main gear (main wheels semi-exposed, no doors); often equipped with blended winglets or split winglets on newer units; single-aisle fuselage with 5-abreast cabin windows","Southwest Airlines, American Airlines, United Airlines (ubiquitous in U.S. fleets)","First flew 1997 (Next Gen series), in service from 1998","Sometimes called “Baby Boeing”; often compared with Airbus A320 family – 737’s pointed nose and window shape differ from A320"
"Boeing 737 MAX (737-7/8/9/10)","Jet (twin-engine narrow-body airliner)","Medium (comparable in size to 737NG but with updated systems)","Twin turbofan engines (CFM LEAP) under wings, with larger engine intakes mounted higher forward for ground clearance","Conventional tail (same tail as prior 737 generations)","Low-wing monoplane, new scimitar split winglets standard","Very large engine turbofan diameter (engines appear big relative to fuselage); dual-sided wingtip split winglets (giving a “forked” wingtip look); reshaped tailcone; modern LED landing lights","Southwest Airlines, American, United, Alaska Airlines (major U.S. carriers have MAX in fleet)","First flew 2016, entered service 2017","Commonly just referred to as “MAX”; visually differentiable from 737NG by the scalloped engine nacelle trailing edges and split winglets"
"Boeing 747 (747-400 / 747-8)","Jet (four-engine wide-body airliner)","Very Large (double-deck “jumbo jet,” ~400–600+ seats)","Four turbofan engines mounted two per wing (underwing pods)","Conventional tail (mid-mounted horizontal stabilizer on vertical fin)","Low-wing monoplane (highly swept, with prominent double-deck hump forward)","Iconic hump on the forward fuselage (upper deck); four engines; very large wingspan often with wingtip fences or raked wingtips (on 747-400/-8); 18-wheel main landing gear (four bogies) visible when down","Cargo carriers like UPS and Atlas Air (747-8F freight) and a few international airlines (passenger 747s) – increasingly rare in passenger service","First flew 1969, entered service 1970 (747-100); latest 747-8 entered service 2012","Nicknamed the “Jumbo Jet” and “Queen of the Skies” for its size; unlikely to be confused with any other due to its unique hump profile"
"Boeing 757","Jet (twin-engine narrow-body airliner)","Medium (long single-aisle, ~180–239 seats; longer range narrow-body)","Two turbofan engines under the wings (large underwing pods)","Conventional tail (low-set horizontal stabilizer on tail)","Low-wing monoplane (swept wing)","Long, slender fuselage (particularly the 757-300 variant); tall landing gear (stands higher off the ground than most narrow-bodies); sharply swept wings often with blended winglets (many retrofitted); pointed nose similar to 767’s shape","Historically Delta and United (for transcontinental routes); today mostly cargo carriers (FedEx, UPS) and a few charter carriers still fly 757s","First flew 1982, in airline service from 1983","Known among pilots as the “Ferrari of the skies” for its power-to-weight; can be mistaken for a 767 at a glance, but the 757 has a single-aisle thinner fuselage and taller stance"
"Boeing 767","Jet (twin-engine wide-body airliner)","Large (medium long-haul wide-body, 181–375 seats depending on variant)","Two turbofan engines mounted under the wings (one on each wing)","Conventional tail (horizontal stabilizer at base of fin)","Low-wing monoplane (moderate sweep, long-span wings)","Dual-aisle fuselage (but not as tall as newer wide-bodies); raked wingtips on 767-400 or blended winglets on many 767-300s; 4-wheeled main landing gear bogies (2×4 wheels) easily seen when down; nose shape is less pointed than 757, with a distinctive “beak” profile","Major U.S. airlines (Delta, United) for transatlantic flights; widely used by FedEx and UPS as a medium wide-body freighter","First flew 1981, entered service 1982","Sometimes called “Seven-Six”; could be confused with the Boeing 777 by silhouette, but the 767 has smaller engines and usually no fuselage belly fairing bulge"
"Boeing 777","Jet (twin-engine wide-body airliner)","Very Large (long-range wide-body, ~314–396 seats; largest twinjet)","Two turbofan engines (very large diameter) under the wings","Conventional tail (low-set horizontal stabilizer)","Low-wing monoplane (swept wing with significant span; raked wingtips on 777-300ER/777-200LR)","Huge engines (the 777’s engines are the largest of any airliner and nearly the same diameter as a 737’s fuselage); six-wheel main landing gear trucks (3 axles per side) on -300ER/-200LR; circular fuselage cross-section and pointed nose; no winglets (uses raked tips instead)","United, American Airlines (international routes); FedEx (777F cargo) – popular globally for long-haul flights","First flown 1994, entered service 1995","Nicknamed “Triple Seven”; often distinguished from similar Airbus A350 by its perfectly round engine inlets and the triple-axle landing gear"
"Boeing 787 Dreamliner","Jet (twin-engine wide-body airliner)","Large (long-range wide-body, 242–336 seats)","Two high-bypass turbofan engines under the wings (with serrated “chevron” rear nacelles for noise reduction)","Conventional tail (low-mounted horizontal stabilizer)","Low-wing monoplane (long, flexible composite wings with pronounced upward sweep and raked wingtips)","Smooth nose contour and four-piece windshield; engine nacelles with scalloped trailing edges; flexing wingtips (noticeable curve in flight); windows larger than on most jets; often seen with a distinctive wing dihedral during flight due to flexible wings","American Airlines, United, Delta (international routes); also many international carriers flying to the U.S.","First flew 2009, entered service 2011","Commonly just “Dreamliner”; the only twin-aisle of its size with serrated engine nacelles – helps distinguish from Airbus A350 (which has smoothly rounded nacelles)"
"Airbus A220 (Bombardier CSeries)","Jet (twin-engine narrow-body airliner)","Small/Medium (100–150 seat regional/mainline airliner)","Two turbofan engines (Pratt & Whitney PW1500G geared turbofans) mounted under the wings","Conventional tail (low-set horizontal stabilizer)","Low-wing monoplane (modern high-aspect-ratio wing with canted winglets)","Four cockpit windows per side (unlike 737’s six), giving a modern cockpit look; canted winglet design (leaning outward); relatively large, high-bypass engines for its size (making them appear proportionally big under the wing); oval-shaped passenger windows","Delta Air Lines, JetBlue Airways (within U.S. domestic and short international routes)","First flew 2013 (as Bombardier CSeries), entered service 2016–2018 (as A220 after Airbus takeover)","Sometimes still referred to by its former name “CSeries”; may be mistaken for a small Airbus A320 or Embraer E-Jet, but the A220’s distinctive nose shape and windows set it apart"
"Airbus A320 Family (A318/A319/A320/A321 – “CEO”)","Jet (twin-engine narrow-body airliner family)","Medium (short-to-medium haul 100–220 seat single-aisle variants)","Two turbofan engines under the wings (CFM56 or V2500 on classic “CEO” models)","Conventional tail (horizontal stabilizer at base of fin)","Low-wing monoplane (slightly swept wing with either small wingtip fences or none on early models)","Rounded nose and windows without the 737’s angular corner (A320 family has a straighter cockpit window line); small triangular wingtip fencelets on older models (vertical mini-winglets); taller retractable landing gear covers (A320 family fully encloses main wheels with doors, unlike 737); twin over-wing emergency exit doors on A321 (vs. one on shorter models)","American Airlines, United, Delta (ubiquitous domestic mainline airliner); Frontier, Spirit (A319/A320), JetBlue (A320/A321)","First flew 1987, entered service 1988","Sometimes called “Airbus 320 series” or just “A320” generically. Often distinguished from the 737 by its smoother nose and presence of wingtip fences"
"Airbus A320neo Family (A320neo/A321neo)","Jet (twin-engine narrow-body airliner)","Medium (same size as A320 family, but new engines)","Two turbofan engines under wings (larger new-generation engines with distinctive scalloped nacelles or smooth cowls, e.g. Pratt & Whitney GTF or CFM LEAP)","Conventional tail (same tail design as original A320)","Low-wing monoplane, usually outfitted with tall “Sharklet” winglets (2.4 m tall blended winglets standard on neos)","Much larger engine intakes than older A320s (noticeably big, high-bypass turbofans) – often the easiest giveaway; sharklet winglets on most (angled upward wingtip extensions ~8 feet tall); same general fuselage and nose shape as classic A320 family","Frontier Airlines (A320neo, A321neo), JetBlue (A321neo), Delta and United (A321neo upcoming) – increasingly common for U.S. airlines refreshing fleets","First flew 2014, entered service 2016 (with Lufthansa)","Referred to as “neo.” Visually, casual spotters might just call it an A320 – but the bigger engines and winglets distinguish the neo from earlier A320ceo models"
"Airbus A330","Jet (twin-engine wide-body airliner)","Large (medium/long-haul wide-body, ~250–300 seats)","Two turbofan engines under the wings (one on each wing)","Conventional tail (low-mounted horizontal stabilizer)","Low-wing monoplane (swept wing with moderate winglets or raked tips on A330neo)","Larger twin-aisle fuselage with a typical Airbus nose (bulbous cockpit shape); A330ceo models often have small wingtip fences, whereas the newer A330neo has curved wingtip sharklets; tricycle landing gear with a characteristic hump fairing at wing root; four-wheel main gear bogies (2×4 wheels) similar to 777 but the A330 has a simpler tail cone and different nose shape","Delta Air Lines (A330-300, -900neo), American Airlines (A330-200; though being phased out), plus many international carriers flying to the U.S. (e.g. Air France, Virgin)","First flew 1992, in service from 1994","Sometimes just “330.” Can be confused with Airbus A340 at a distance (which is a similar fuselage but with four engines) – the A330 has two engines and usually winglets, distinguishing it from the four-engine A340"
"Airbus A350","Jet (twin-engine wide-body airliner)","Very Large (long-haul wide-body, ~300–350 seats; competitor to 777)","Two turbofan engines under wings (Rolls-Royce Trent XWB with smooth, large nacelles)","Conventional tail (low-set horizontal stabilizer)","Low-wing monoplane (highly swept carbon-fiber wing with blended winglets)","Distinctive cockpit windows – a swept-back “visor” look with black surrounding masking (gives a sunglasses appearance); very sleek wings with upward-curving winglets; six-wheel main gear (3 axles per bogie on A350-1000) vs. four-wheel on A350-900; smooth engine cowlings (no chevrons) and a slightly curved nose profile. The A350’s fuselage is all-composite, but visually that manifests as a very clean look and slightly larger windows","Delta Air Lines (A350-900), plus many international carriers at U.S. airports (e.g. Qatar Airways, British Airways, etc.)","First flew 2013, entered service 2015","Sometimes dubbed “XWB” (eXtra Wide Body) by Airbus. May be mistaken for Boeing 787 or 777 by casual observers – the telltale sign is the continuous black cockpit visor unique to A350"
"Airbus A380","Jet (four-engine wide-body very large airliner)","Very Large (double-deck superjumbo, 500–850 seats, the world’s largest passenger plane)","Four turbofan engines (two under each wing)","Conventional tail (large tail surfaces, needed for the huge aircraft)","Low-wing monoplane (extremely large wings with upward-swept wingtip fences)","Full-length double-decker fuselage (the only airliner with two passenger decks the entire length); very bulky body with a short nose and smoothly contoured front; four large engines; massive wingspan with curved wingtip fences; 20 main landing wheels (split across four main gear bogies) – overall an unmistakably giant silhouette","No U.S. airlines operate the A380, but foreign carriers like Emirates, British Airways, Lufthansa, and others fly A380s regularly into major U.S. hubs (JFK, LAX, SFO, etc.)","First flew 2005, entered service 2007","Nicknamed the “Superjumbo.” Impossible to misidentify when seen – it’s the only double-decker passenger jet (the Boeing 747 has a partial upper deck, whereas A380’s upper windows run nose-to-tail)"
"Airbus A300 (A300-600)","Jet (twin-engine wide-body airliner)","Large (early-generation wide-body, typically ~250 seats; used often as a freighter now)","Two turbofan engines under the wings","Conventional tail (horizontal stabilizer on fuselage/fin junction)","Low-wing monoplane (first gen Airbus wing, no winglets on most A300s)","Sturdy wide-body fuselage but no wingtip fences (original A300B/A300-600 have clean wingtips); older style Airbus nose (rounded and bulbous cockpit windows, similar to smaller A310); a bulky ventral fairing (belly) under the wing center; 2-wheel main landing gear bogies (each main gear has 2 wheels – unlike larger Airbus/Boeing which often have 4-wheel bogies)","FedEx Express and UPS Airlines are the primary operators in the U.S., using the A300-600F for cargo flights; (Passenger A300s are largely retired, but a few foreign carriers or charters may appear rarely)","First flew 1972, entered service 1974 (the A300 was the world’s first twin-engine wide-body)","Referred to by model (A300). Can be confused with the slightly shorter Airbus A310 or longer A330; distinguishing factors are the lack of winglets and the twin-wheel gears on the A300"
"Embraer ERJ-145 Family (ERJ-135/140/145)","Jet (twin-engine regional airliner)","Small (37–50 seat long regional jet)","Two turbofan engines mounted at the rear fuselage (one on each side of tail)","T-tail (horizontal stabilizer on top of vertical fin) – common for regional jets","Low-wing monoplane (swept wing; no winglets on most ERJs, though some later ERJ-145 have small winglets)","Very long, slim fuselage (especially ERJ-145, which is stretched and looks pencil-like); engines on rear give a quiet nose profile; 3–abreast seating cabin (one side has 2 seats, the other 1 seat – though from outside you can note the small size of fuselage and closely spaced windows); often an “unpainted” metal leading edge on tail section is visible on some liveries","In the U.S., historically flown by American Eagle (Envoy Air) and United Express (CommutAir/ExpressJet) – now being phased out; still used by charter and regional carriers and also by semi-private airlines (e.g. JSX uses the ERJ-135/145)","First flew 1995, entered service 1996","Sometimes called “Jungle Jet.” Can be confused with the similar Bombardier CRJ-200 from a distance – but the ERJ has an oval nose cross-section and 3-side passenger windows (unpaired on one side) vs. CRJ’s 2–2 seating"
"Embraer E-Jet Family (E170/E175/E190/E195)","Jet (twin-engine regional/short-haul airliner)","Small/Medium (76–100 seats for E170/175; ~100–124 seats for E190/195)","Two turbofan engines under the wings (one per wing, similar placement to larger jets; uses GE CF34 engines on first-gen E-Jets)","Conventional tail (low-mounted horizontal stabilizer on fuselage)","Low-wing monoplane (swept wing with winglets on most models – original E-Jets have raked winglets)","Nose shape resembling a smaller 777/A330 style (smooth and pointed); 4-abreast seating cabin (windows typically aligned in pairs); noticeable tall winglets; overall looks like a “mini airliner” – often mistaken for an A320 or 737 at quick glance, but it’s smaller (shorter fuselage and lower to ground than mainline jets) and has only 2 wheel main gear per side (versus larger jets that may have 4-wheel bogies)","Widely used by regional affiliates: e.g. E175 in the fleets of American Eagle (Envoy, Republic), Delta Connection (SkyWest, Endeavor) and United Express (Mesa, SkyWest). E190/E195 used by JetBlue (E190) and some international carriers; new E175s are extremely common at U.S. airports for regional flights","First flew 2002, entered service 2004 (E170/E175)","Sometimes called “Embraer 170 or 175” etc., or “E-Jet.” From the ground, may be confused with smaller Airbus or Boeing jets, but the E-Jet’s smaller size and pronounced winglets help differentiate it"
"Bombardier CRJ Series (CRJ-200/700/900)","Jet (twin-engine regional airliner)","Small (50 seats in CRJ-100/200; 70–76 seats CRJ-700; ~76–90 in CRJ-900/1000)","Two turbofan engines mounted at the rear fuselage (one on each side of tail, GE CF34 engines)","T-tail (high-mounted horizontal stabilizer above the jet exhausts)","Low-wing monoplane (relatively small, straight wing for early CRJ; moderate sweep on CRJ-700/900; usually without winglets on CRJ-200, but CRJ-700/900 have small winglets)","Small diameter fuselage with 4-abreast seating (2+2 seating – windows appear paired closely); very stretched look on the longer CRJ-700/900 (long skinny tube with small wings); limited ground clearance for engines at rear; the CRJ’s nose is pointed and cockpit windows have a distinctive “gull wing” curve on top. CRJ-200 has no prominent winglets; CRJ-700/900 typically have tiny upward winglets","Used extensively by regional partners: Delta Connection (Endeavor Air CRJ-900, SkyWest CRJ-200/700), American Eagle (PSA Airlines CRJ-700/900), United Express (SkyWest/Mesa CRJ-200/700). They frequent smaller airports and short-hop routes","CRJ-100/200 first flew 1991, in service 1992; CRJ-700 first flight 1999, service 2001","Sometimes derogatorily called “Barbie Jet” (for CRJ-200) due to tight cabin. Can be confused with the Embraer ERJ-145, but the CRJ has 4 windows per row (2 each side) and tends to have a more pointed nose and T-tail vs. ERJ’s slightly different window configuration"
"ATR 42/72","Turboprop (twin-engine regional turboprop airliner)","Small/Medium (ATR 42 ~50 seats; ATR 72 ~70 seats)","Two turboprop engines, each driving a six-blade propeller, mounted on the wings","Conventional tail (low-set horizontal stabilizer on fuselage)","High-wing monoplane (engines and props mounted on high wings for ground clearance)","High wing with visible strutless design; large black spinners on the prop hubs; short, thick fuselage (especially ATR-42, which is stubbier) with a blunt nose; tall, robust landing gear struts (often fixed on older models, partially retractable on newer) giving it a squat stance. The ATR’s tail is tall and vertical; props make a distinctive buzzing sound compared to jets","In the U.S., Silver Airways operates ATR 42/72 for passenger regional routes (e.g., in Florida/Bahamas); FedEx Feeder and UPS (through subcontractors) use ATR 72F for cargo in regional hubs","ATR 42 first flew 1984; ATR 72 first flew 1988 (in service late ‘80s)","Sometimes simply “ATR.” Can be mistaken for the De Havilland Canada Dash 8, but the ATR has a rounder nose and usually six-blade props (versus older Dash 8 Q400’s four blades) and typically no noise-suppressing engine nacelle bumps that Q400 has"
"Cessna 208 Caravan","Turboprop (single-engine utility aircraft)","Small (9–14 seats, short-haul utility plane)","One turboprop engine in the nose (Pratt & Whitney PT6A), driving a propeller","Conventional tail (straight tailfin with low horizontal stabilizer)","High-wing monoplane (strut-braced high wing)","Boxy, utilitarian appearance; fixed tricycle landing gear often with gear fairings or sometimes floats/skis depending on configuration; a large rectangular cargo door on the left rear fuselage in many configurations. The Caravan has a short nose with a big spinner and exhaust on the side. Often outfitted as a cargo feeder (sometimes with FedEx livery) or as a skydiving plane (with the door removed)","FedEx Feeder contractors (in purple/white livery) for small cargo airports; small regional airlines and charter outfits (Cape Air is introducing a variant, and many bush operators use it); skydiving centers commonly use the Caravan for lift capacity","First flew 1982, in service by 1985","Known simply as “Caravan” or “Cessna Grand Caravan” (for the 208B stretch). May be mistaken for a De Havilland Canada DHC-6 Twin Otter from afar, but the Caravan has only one engine and prop vs. the Twin Otter’s two"
"Pilatus PC-12","Turboprop (single-engine executive/utility aircraft)","Small (pressurized cabin, typically 6–9 passengers in executive layout)","One turboprop engine in the nose (Pratt & Whitney PT6A), driving a five-blade propeller (on newer models)","Conventional tail (low-mounted horizontal stabilizer)","Low-wing monoplane (slightly tapered wing; retractable landing gear)","Sleek fuselage with a pointed nose and a large single prop; a big cargo door on the left rear fuselage for loading freight/medevac stretcher (a notable PC-12 feature); tail dragger-style single nose wheel (though gear is tricycle and retractable – when extended, nose gear has a noticeable strut). It often has elegant corporate liveries. In flight, the PC-12’s single turboprop sound is distinct (loud prop buzz)","Used by corporate and charter operators (e.g., PlaneSense fractional fleet, Boutique Air for Essential Air Service routes); Royal Flying Doctor Service (in Australia) and air ambulances; U.S. Air Force designates it as U-28A for special ops transport","First flew 1991, in service by 1994","Sometimes called the “PC-12 Eagle” (unofficial). Can be confused with the smaller Socata TBM series, but the PC-12 is larger and has a conventional tail (TBM has a similar look but smaller and typically a single cargo door on right side)"
"Beechcraft King Air (90/200/350 series)","Turboprop (twin-engine utility/corporate aircraft)","Small/Medium (ranges from 7-seat King Air C90 to 11+ seat King Air 350)","Two turboprop engines, one on each wing (PT6A engines with 3 or 4 blade props depending on model)","Conventional tail (straight tailfin with low-set horizontal stabilizer)","Low-wing monoplane (full retractable gear)","Sturdy dual-engine prop plane with a square-ish cross-section fuselage (pressurized cabin); t-tail? (No, King Air actually has a conventional tail on most models – notably, the Beech 1900 derivative had a t-tail, but King Airs themselves have a normal tail); large oval cabin windows in pairs; on ground, sits fairly low with its retractable gear. The King Air 90/200 have prop spinners relatively close to the fuselage; the larger 350 has winglets on wingtips as a distinguishing feature. Often painted in corporate or military grey schemes","Widely used as executive transports (corporate fleets), air ambulance aircraft, small charter airlines (e.g., used in island hops or remote area flights), and military liaison/transport (U.S. military designations C-12 Huron)","First flew 1963 (King Air 90), series in continuous service since mid-1960s with many variants","Just “King Air.” Could be mistaken for smaller twin prop like a Piper Cheyenne or Cessna 421 from afar, but King Air’s distinctive oval windows and dual turboprop sound set it apart"
"Socata TBM Series (TBM 700/850/900/910/940)","Turboprop (single-engine very fast turboprop)","Small (6–7 seat pressurized single)","One turboprop engine in the nose (PT6A variant), driving a 4-blade or 5-blade prop (latest models 5-blade)","Conventional tail (low-mounted tailplane)","Low-wing monoplane (retractable gear)","Sleek, aerodynamic profile — looks like a small executive jet until you notice the propeller. Long pointed nose housing the turboprop; typically a five-blade prop (on TBM 900+ models) with a spinner. The TBM has a short, stubby vertical tail and often a striking paint scheme. It is one of the fastest single-engine props, so often flying relatively high like small jets. Its exhaust stacks are on the cowling sides (two small exhausts)","No airlines per se; mostly owned by wealthy individuals or corporations for personal transport, and some air charter companies. Also used in small numbers by French Air Force (as liaison aircraft)","First flew 1988 (as TBM 700), in service 1990. Modern iterations (910/940) introduced late 2010s","Sometimes just called “TBM” plus model. Can be mistaken for the Piper Meridian/M500 (another single turboprop) or even a small jet at a distance, but the propeller and single-engine layout are telltale"
"Cessna 172 Skyhawk","Piston (single-engine light general aviation aircraft)","Small (4-seat basic training/touring airplane)","One piston engine in the nose (typically a 4-cylinder Lycoming), driving a two-blade propeller","Conventional tail (straight tailfin with low horizontal stabilizer)","High-wing monoplane (strut-braced high wing)","High wing with struts to fuselage; fixed tricycle landing gear. The 172 has a relatively square vertical tail and a broad cowling. Often painted white with stripes. From below, its high-wing silhouette and steady slow flight are classic. It has a single door on each side (entered by stepping on the wing). Very common over suburbs near small airports","Ubiquitous with private owners, flying clubs, and flight schools worldwide (the most-produced airplane ever). Commonly used for training, personal flying, aerial photography","First flew 1955, in continuous production in various models since then","Simply “Skyhawk” (its marketing name). Often just called “172.” Rarely misidentified, but generally representative of all small Cessna high-wing planes to casual observers"
"Piper PA-28 Cherokee/Archer","Piston (single-engine light general aviation aircraft)","Small (2 to 4-seat trainer and touring aircraft)","One piston engine in the nose (four-cylinder, 150–180 hp typical), with a two-blade propeller","Conventional tail (low-mounted tailplane)","Low-wing monoplane (the PA-28 series has a low wing with distinctive Hershey-bar rectangular planform in older models)","Low wing with no visible struts (cantilever wing); a single door on the right side (passengers step on the wing to enter); fixed tricycle landing gear. The Cherokee’s wing is often rectangular (on earlier Cherokee/Warrior) or tapered (Archer/Arrow), but always low-mounted. It has a rounded nose and a plain, utilitarian appearance. Typically has a simple paint stripe; from below, the low-wing stands out compared to a Cessna 172.","Flight schools (common trainer alongside Cessnas), private owners for personal travel. Models like Warrior, Archer, and Arrow (retractable gear) are all PA-28 variants used widely in general aviation","First flew 1960, in production in various forms for decades","Often just “Cherokee” or by specific model (Archer, Warrior). A casual observer might confuse it with other low-wing 4-seaters (Grumman Tiger, Beech Musketeer), but the Cherokee’s plain wing and single right-side door are characteristic"
"Cessna 150/152","Piston (single-engine two-seat training aircraft)","Small (2-seat compact trainer)","One piston engine in nose (Continental O-200 or Lycoming O-235, ~100 hp), with a fixed-pitch 2-blade prop","Conventional tail (straight tailfin on early 150s, slanted on later 152s; low-set stabilizer)","High-wing monoplane (strut-braced)","Tiny size – the 150/152 is noticeably smaller than a 4-seat Cessna. Two-seat cockpit with big bubble windows and often a rear window in 152 (“Omni-Vision”). Fixed tricycle gear without fairings typically. Often painted white/orange or white/blue in training fleets. In flight, its climb is slow and it has a very “floaty” look. The 150’s straight tail (pre-1964) and the 152’s swept tail are minor differences; both have the same general silhouette","Flight schools (the quintessential ab initio trainer of the 1960s–1980s); many still in use by clubs and private owners for inexpensive flying","Cessna 150 first flew 1958 (production 1959–77), succeeded by 152 in 1977–85","Called “Cessna 150” or “152” interchangeably as they are very similar. Sometimes nicknamed the “Commuter” or “Aerobat” (for the aerobatic model). Hard to mistake – its diminutive size and high-wing make it look like a “baby” 172"
"Cessna 182 Skylane","Piston (single-engine light general aviation aircraft)","Small (4-seat high-performance personal aircraft)","One piston engine in nose (230 hp class Continental engine), 2-blade or 3-blade prop (many 182s have 3-blade props)","Conventional tail (low-mounted horizontal stabilizer)","High-wing monoplane (strut-braced, like a larger 172)","Similar layout to the 172 but slightly larger and more powerful. The 182 often has a vertical stabilizer with a swept leading edge and sometimes features wheel fairings on fixed gear. Some models have a rear window (omni-vision) while older ones have a straight “fastback” roof. The 182’s nose is a bit longer/chunkier due to a bigger engine, and it can carry small underbelly cargo pods. In flight, climbs faster than a 172 and often seen with 3-blade prop blur","Private owners (for family travel, bush flying when on floats), small charter firms (sightseeing flights), and occasionally law enforcement (as observation aircraft). A very common step-up aircraft for 172 pilots wanting more power","First flew 1956, in production (with pauses) into the 2000s","Known as “Skylane.” Could be mistaken for the 172 to an untrained eye – main giveaways are the 182’s often three-blade prop and slightly bigger fuselage"
"Piper J-3 Cub / PA-18 Super Cub","Piston (single-engine light utility aircraft)","Small (2-seat tandem taildragger)","One piston engine in nose (65–150 hp depending on variant) driving a 2-blade prop","Conventional tail (tailwheel landing gear configuration)","High-wing monoplane (strut-braced, with significant wing dihedral)","Bright yellow paint (common on J-3 Cubs); no nose wheel – a taildragger with main wheels forward and a small tail wheel. Very simple, angular tail fin and rudder. Tandem seating (one behind the other) — from the side, only one door on right side and a long stretch of fabric-covered fuselage. In flight, the Cub is slow, often seen low over fields. The Super Cub (PA-18) is similar but with slight upgrades like flaps and a bit more power, often on tundra tires or floats. Both have that classic 1930s–40s small-plane look","Sport aviators, bush pilots, flight schools (for tailwheel training), banner towers. Often seen at grass strips and farm fields. The military used variants (L-4 Grasshopper) in WWII for liaison duties","J-3 first flew 1938. PA-18 Super Cub introduced 1949 (produced into the 1990s by Piper and others)","Simply “Cub.” It basically defined the category – many similar-looking small taildraggers (like Aeronca Champ, Taylorcraft) exist, but the Cub’s iconic yellow and black color scheme is famous. If you see a little yellow taildragger puttering by, it’s likely a Cub"
